scope,seed,run_id,actor_id,driver_id,archetype,fleet,total_checkpoints,ready,queued,suppressed,expired,superseded,offered,displayed,accepted,dismissed,expanded,execution_observed,attached,unattached,first_checkpoint_min,first_attached_step,median_steps_between_attached,trip_transition_count,two_route_legs,topics,actions,final_payout_vnd,final_trips_done
seed,1000,1000-B-sp+al-all-c9beb6ef2,64,d-64,P6,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,318.0,20,,19,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,150873,6
seed,1000,1000-B-sp+al-all-c9beb6ef2,65,d-65,P6,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,319.0,10,,24,1,rest;shift_timing,ONLINE;REST,188977,8
seed,1000,1000-B-sp+al-all-c9beb6ef2,66,d-66,P6,swap,3,2,0,1,0,0,0,0,0,0,0,3,2,1,307.0,1,39.0,51,1,energy;rest;shift_timing,ONLINE;REST;SWAP,344260,16
seed,1000,1000-B-sp+al-all-c9beb6ef2,67,d-67,P6,swap,3,2,0,1,0,0,0,0,0,0,0,2,2,1,326.0,1,4.0,33,1,bonus_eligibility;rest;shift_timing,ONLINE;PROTECT_ELIGIBILITY;REST,239051,10
seed,1000,1000-B-sp+al-all-c9beb6ef2,68,d-68,P6,swap,3,2,0,1,0,0,0,0,0,0,0,3,2,1,337.0,1,27.0,25,1,energy;rest;shift_timing,ONLINE;REST;SWAP,153226,8
seed,1000,1000-B-sp+al-all-c9beb6ef2,69,d-69,P6,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,300.0,1,,27,1,rest;shift_timing,ONLINE;REST,182396,8
seed,1000,1000-B-sp+al-all-c9beb6ef2,70,d-70,P6,swap,4,3,0,1,0,0,0,0,0,0,0,4,3,1,300.0,1,15.0,25,1,bonus_eligibility;energy;rest;shift_timing,ONLINE;PROTECT_ELIGIBILITY;REST;SWAP,152384,7
seed,1000,1000-B-sp+al-all-c9beb6ef2,71,d-71,P6,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,327.0,1,,23,1,rest;shift_timing,ONLINE;REST,108428,7
seed,1000,1000-B-sp+al-all-c9beb6ef2,72,d-72,P6,swap,1,0,0,1,0,0,0,0,0,0,0,1,0,1,329.0,,,21,1,shift_timing,ONLINE,132456,7
seed,1000,1000-B-sp+al-all-c9beb6ef2,73,d-73,P6,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,316.0,1,,20,1,rest;shift_timing,ONLINE;REST,139868,6
seed,1000,1000-B-sp+al-all-c9beb6ef2,74,d-74,P6,swap,4,3,0,1,0,0,0,0,0,0,0,3,3,1,344.0,1,16.0,25,1,bonus_eligibility;energy;rest;shift_timing,ONLINE;PROTECT_ELIGIBILITY;REST;SWAP,179346,8
seed,1000,1000-B-sp+al-all-c9beb6ef2,75,d-75,P6,swap,3,2,0,1,0,0,0,0,0,0,0,3,2,1,300.0,1,27.0,35,1,bonus_eligibility;energy;shift_timing,ONLINE;PROTECT_ELIGIBILITY;SWAP,216606,11
seed,1000,1000-B-sp+al-all-c9beb6ef2,76,d-76,P6,swap,1,0,0,1,0,0,0,0,0,0,0,1,0,1,339.0,,,37,1,shift_timing,ONLINE,277118,12
seed,1000,1000-B-sp+al-all-c9beb6ef2,77,d-77,P6,swap,3,2,0,1,0,0,0,0,0,0,0,3,2,1,300.0,1,4.0,19,1,bonus_eligibility;energy;shift_timing,ONLINE;PROTECT_ELIGIBILITY;SWAP,150083,6
seed,1000,1000-B-sp+al-all-c9beb6ef2,78,d-78,P6,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,336.0,1,,12,1,rest;shift_timing,ONLINE;REST,79732,4
seed,1000,1000-B-sp+al-all-c9beb6ef2,79,d-79,P7,swap,1,0,0,1,0,0,0,0,0,0,0,1,0,1,915.0,,,45,1,shift_timing,ONLINE,266139,14
