actor_id,archetype,existing_bonus,existing_checkpoints,existing_expired,existing_online_suppressed,existing_ready,existing_rest,existing_suppressed,existing_swap_now,fleet,has_two_route_legs,run_id,seed,shift_duration_min,shift_end_min,shift_start_min
74,P6,1,4,0,1,3,1,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,468.184,812.718,344.534
75,P6,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,434.469,734.469,300.0
76,P6,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,510.852,850.634,339.782
77,P6,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,440.99,740.99,300.0
78,P6,0,2,0,1,1,1,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,449.833,786.339,336.506
79,P7,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,524.337,1440.0,915.663
80,P7,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,497.053,1440.0,942.947
81,P7,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,512.029,1440.0,927.971
82,P7,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,513.853,1440.0,926.147
83,P7,0,2,0,1,1,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,524.306,1432.454,908.148
84,P7,0,2,0,1,1,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,491.303,1423.487,932.184
85,P7,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,505.035,1415.254,910.219
86,P7,0,2,0,1,1,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,495.093,1440.0,944.907
87,P7,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,536.701,1438.367,901.666
88,P7,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,527.561,1440.0,912.439
89,P7,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,507.056,1435.529,928.473
0,P1,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,200.055,1277.643,1077.588
1,P1,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,236.515,1295.928,1059.413
2,P1,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,212.691,1282.004,1069.313
3,P1,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,201.393,1207.715,1006.321
4,P1,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,223.557,1224.26,1000.704
5,P1,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,227.731,1223.19,995.459
6,P1,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,233.745,1280.538,1046.793
7,P1,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,205.882,1241.179,1035.297
8,P1,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,202.864,1213.4,1010.536
9,P1,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,207.27,1279.102,1071.832
10,P1,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,234.865,1244.115,1009.25
11,P1,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,185.184,1223.049,1037.865
12,P1,1,2,0,1,1,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,215.399,1249.267,1033.868
13,P2,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,625.564,1096.396,470.832
14,P2,0,1,0,1,0,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,608.492,1118.391,509.899
15,P2,0,2,0,1,1,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,609.697,1129.312,519.614
16,P2,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,630.179,1145.493,515.314
17,P2,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,614.992,1105.275,490.283
18,P2,0,2,0,1,1,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,646.87,1091.886,445.016
19,P2,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,631.091,1150.407,519.316
20,P2,0,2,0,1,1,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,650.478,1179.802,529.324
21,P2,0,1,0,1,0,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,626.578,1158.529,531.951
22,P2,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,634.486,1146.752,512.267
23,P2,0,3,0,1,2,1,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,646.574,1123.29,476.716
24,P2,0,2,0,1,1,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,620.921,1079.807,458.886
25,P2,0,1,0,1,0,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,646.915,1171.914,524.999
26,P2,1,3,0,1,2,1,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,603.751,1040.33,436.58
27,P2,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,644.134,1102.143,458.009
28,P2,0,3,0,1,2,1,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,618.904,1109.66,490.756
29,P2,0,1,0,1,0,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,613.0,1116.108,503.108
30,P2,0,2,0,1,1,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,615.174,1118.605,503.431
31,P3,0,1,0,1,0,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,705.173,1277.57,572.397
32,P3,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,685.889,1261.834,575.944
33,P3,0,1,0,1,0,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,671.018,1236.75,565.732
34,P3,0,1,0,1,0,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,686.972,1228.671,541.699
35,P3,0,3,0,1,2,1,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,701.019,1299.296,598.277
36,P4,1,3,0,1,2,1,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,518.13,965.712,447.582
37,P4,1,3,0,1,2,1,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,488.356,857.266,368.91
38,P4,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,484.959,904.753,419.794
39,P4,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,502.816,982.423,479.607
40,P4,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,538.86,939.716,400.857
41,P4,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,500.429,953.779,453.35
42,P4,1,3,0,1,2,1,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,499.038,896.868,397.83
43,P4,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,536.122,988.736,452.614
44,P4,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,518.085,879.257,361.172
45,P4,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,520.183,890.257,370.075
46,P4,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,481.508,950.454,468.946
47,P4,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,501.473,877.19,375.718
48,P4,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,538.312,960.747,422.435
49,P4,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,490.493,922.572,432.079
50,P4,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,524.893,894.878,369.984
51,P4,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,502.47,927.821,425.351
52,P5,0,2,0,1,1,0,1,1,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,498.69,1412.345,913.655
53,P5,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,485.885,1416.465,930.58
54,P5,1,2,0,1,1,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,468.143,1440.0,971.857
55,P5,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,455.768,1440.0,984.232
56,P5,0,1,0,1,0,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,508.071,1440.0,931.929
57,P5,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,501.795,1415.561,913.766
58,P5,0,1,0,1,0,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,497.876,1424.882,927.006
59,P5,0,1,0,1,0,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,489.148,1440.0,950.852
60,P5,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,514.107,1440.0,925.893
61,P5,0,1,0,1,0,0,1,0,charge,1,1001-B-sp+al-all-c9beb6ef2,1001,439.577,1440.0,1000.423
