seed,run_id,actor_id,archetype,fleet,checkpoints,ready_checkpoints,checkpoint_topics,current_future_distinct,swap_soon_candidates,checkpoint_execution_links,max_topic_revisions,trips,payout_vnd,points,soc_end_pct,online_min,rest_min,charge_min,idle_min,longest_inferred_idle_min,long_idle_blocks_30m,empty_share,high_empty_share_40pct,soc_skips,repeated_soc_skips,swap_started,swap_failed,swap_done,swap_wait_max_min,battery_stranded,rest_events,cancel_after_accept,decline_economics,decline_behavior,mission_completed,newbie_events,ratings,recap_inputs_present,energy_event_count
1000,1000-B-sp+al-all-c9beb6ef2,48,P4,swap,10,1,bonus_eligibility;shift_timing,6,4,9,9,8,312501,60,50.291,517.456,59.898,6.768,212.0,42.0,4,0.4143,True,0,False,1,0,1,0.0,0,2,0,1,0,1,1,5,True,2
1000,1000-B-sp+al-all-c9beb6ef2,49,P4,swap,11,1,bonus_eligibility;shift_timing,9,9,10,10,6,262502,45,76.731,531.397,61.927,5.515,270.0,48.0,6,0.5066,True,1,False,1,0,1,0.0,0,2,0,3,0,0,1,5,True,3
1000,1000-B-sp+al-all-c9beb6ef2,50,P4,swap,14,3,bonus_eligibility;energy;shift_timing,10,7,13,11,9,262498,50,92.264,540.526,66.171,9.942,186.0,40.0,1,0.5117,True,0,False,2,0,2,0.0,0,2,1,3,1,0,1,8,True,4
1000,1000-B-sp+al-all-c9beb6ef2,51,P4,swap,16,3,bonus_eligibility;energy;shift_timing,11,11,15,13,11,262501,60,100.0,559.859,107.476,23.942,158.0,24.0,0,0.4598,True,0,False,2,0,2,8.0,0,3,1,1,2,0,1,9,True,4
1000,1000-B-sp+al-all-c9beb6ef2,52,P5,swap,8,0,shift_timing,7,5,8,8,12,287668,55,80.307,422.248,0.0,8.474,130.0,42.0,1,0.3747,False,1,False,2,0,2,0.0,0,0,2,0,0,1,0,8,True,5
1000,1000-B-sp+al-all-c9beb6ef2,53,P5,swap,9,0,shift_timing,6,5,9,9,8,139039,45,43.498,483.787,0.0,8.002,276.0,42.0,5,0.4923,True,0,False,1,0,1,0.0,0,0,0,0,0,0,0,6,True,2
1000,1000-B-sp+al-all-c9beb6ef2,54,P5,swap,9,0,shift_timing,7,7,9,9,11,240204,45,92.31,421.409,0.0,70.543,60.0,16.875,0,0.4164,True,0,False,3,1,2,0.0,0,0,1,1,0,0,0,8,True,6
1000,1000-B-sp+al-all-c9beb6ef2,55,P5,swap,10,0,shift_timing,7,6,9,10,13,294178,90,16.019,531.645,0.0,89.661,144.0,40.0,2,0.418,True,0,False,3,1,1,17.0,0,0,0,0,0,1,0,12,True,5
1000,1000-B-sp+al-all-c9beb6ef2,56,P5,swap,11,3,bonus_eligibility;energy;shift_timing,7,6,10,8,12,308568,70,86.449,452.485,0.0,83.241,102.0,40.0,1,0.4564,True,2,True,3,1,2,10.0,0,0,1,0,0,2,0,9,True,8
1000,1000-B-sp+al-all-c9beb6ef2,57,P5,charge,6,0,shift_timing,6,6,6,6,10,218458,55,14.561,441.419,0.0,210.0,126.0,43.836,3,0.4241,True,0,False,0,0,0,0.0,0,0,2,0,0,1,0,9,True,1
1000,1000-B-sp+al-all-c9beb6ef2,58,P5,swap,9,1,energy;shift_timing,5,4,9,8,14,346535,60,62.245,420.406,0.0,10.904,82.0,40.0,1,0.4406,True,0,False,2,0,2,0.0,0,0,1,2,1,2,0,12,True,4
1000,1000-B-sp+al-all-c9beb6ef2,59,P5,swap,12,0,shift_timing,9,9,11,12,9,181235,50,43.067,515.176,40.503,44.046,200.0,40.0,4,0.447,True,0,False,1,0,1,37.0,0,1,0,0,0,0,0,7,True,2
1000,1000-B-sp+al-all-c9beb6ef2,60,P5,swap,11,1,bonus_eligibility;shift_timing,8,6,9,10,13,281504,55,65.475,531.8,33.11,8.531,190.0,40.0,2,0.4325,True,1,False,2,0,2,0.0,0,1,1,0,1,1,0,9,True,5
1000,1000-B-sp+al-all-c9beb6ef2,61,P5,charge,7,0,shift_timing,7,7,6,7,7,176597,40,6.261,531.975,0.0,210.0,88.0,203.232,2,0.3929,False,0,False,0,0,0,0.0,0,0,0,0,0,0,0,6,True,1
1000,1000-B-sp+al-all-c9beb6ef2,62,P5,charge,13,1,bonus_eligibility;shift_timing,9,7,13,12,9,154647,50,27.478,516.59,26.895,0.0,276.0,40.0,3,0.5142,True,0,False,0,0,0,0.0,0,1,0,2,1,0,0,7,True,0
1000,1000-B-sp+al-all-c9beb6ef2,63,P6,swap,11,1,rest;shift_timing,7,5,10,10,9,176773,45,46.269,545.552,136.76,5.367,156.0,32.487,1,0.4507,True,0,False,1,0,1,0.0,0,4,0,1,0,0,0,7,True,2
1000,1000-B-sp+al-all-c9beb6ef2,64,P6,swap,10,1,bonus_eligibility;shift_timing,7,5,10,9,6,150873,30,63.222,536.078,119.792,1.166,228.0,42.0,3,0.4374,True,1,False,1,0,1,0.0,0,5,0,0,0,1,0,4,True,3
1000,1000-B-sp+al-all-c9beb6ef2,65,P6,swap,8,1,rest;shift_timing,5,4,8,7,8,188977,50,55.419,470.143,83.071,1.496,138.0,40.0,2,0.4081,True,0,False,1,0,1,0.0,0,3,0,0,0,1,0,3,True,2
1000,1000-B-sp+al-all-c9beb6ef2,66,P6,swap,11,2,energy;rest;shift_timing,8,6,10,9,16,344260,85,98.124,507.489,84.388,4.133,114.0,20.0,0,0.4159,True,1,False,2,0,2,2.0,0,3,1,0,0,2,0,11,True,5
1000,1000-B-sp+al-all-c9beb6ef2,67,P6,swap,10,2,bonus_eligibility;rest;shift_timing,7,7,9,8,10,239051,65,36.74,518.431,117.053,9.2,114.0,32.0,1,0.4525,True,0,False,1,0,1,0.0,0,3,1,1,0,1,0,6,True,2
1000,1000-B-sp+al-all-c9beb6ef2,68,P6,swap,11,2,energy;rest;shift_timing,6,4,11,9,8,153226,50,65.046,537.887,120.056,10.67,210.0,40.0,3,0.4808,True,1,False,1,0,1,0.0,0,4,0,0,0,1,0,8,True,3
1000,1000-B-sp+al-all-c9beb6ef2,69,P6,swap,9,1,rest;shift_timing,5,2,9,8,8,182396,60,53.821,502.896,54.578,10.164,224.0,40.0,3,0.5277,True,0,False,1,0,1,0.0,0,2,1,1,0,1,0,5,True,2
1000,1000-B-sp+al-all-c9beb6ef2,70,P6,swap,11,3,bonus_eligibility;energy;rest;shift_timing,5,3,11,8,7,152384,45,74.356,536.48,131.684,5.394,212.0,40.0,3,0.4186,True,1,False,1,0,1,0.0,0,4,1,0,1,1,0,7,True,3
